t_real_s,vehicle_id,x,y,speed
1,veh_10,293.4473829818994,112.84119525479302,19.44
1,veh_17,291.38682592242196,10.268438978240301,10.98
1,veh_19,290.2,96.34,0.77
1,veh_26,286.9723935666982,81.56078051087985,12.22
1,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9365736980804,59.71074339374886,0.77
2,veh_10,294.0527512266578,114.68644356166214,19.419964345757126
2,veh_17,291.36806947450657,11.362004569114731,10.938243005008475
2,veh_19,290.20316337702656,96.43585032390419,0.9584705139529502
2,veh_24,232.31,74.7567084078712,0.77
2,veh_26,286.99310119885473,80.34492613668883,12.159981771921043
2,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9368172124544,59.613781699783814,0.9697261651609547
3,veh_10,294.657514889392,116.5298490167363,19.400569603044662
3,veh_17,291.34937869907975,12.451741227446158,10.899944621304194
3,veh_19,290.2069588997749,96.5508546631799,1.1500041281299391
3,veh_24,232.21316581813255,74.75607324030975,0.9683418186743444
3,veh_26,287.01371176683136,79.1347709127848,12.102983528483122
3,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93711085150375,59.49686153947637,1.1693333114189683
4,veh_10,295.26169288337474,118.3714692703542,19.381781590340832
4,veh_17,291.3307481509852,13.53796642462955,10.864821702605575
4,veh_19,290.21139246141337,96.68519158082592,1.34332331133002
4,veh_24,232.09662518131537,74.75530881156497,1.1654063681718039
4,veh_26,287.03422984763733,77.9300460987964,12.048673006606672
4,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93745455888853,59.36000534608579,1.368716099813768
5,veh_10,295.86530310666797,120.21135887834846,19.36356774010689
5,veh_17,291.3121728269868,14.620971866575537,10.832616533114814
5,veh_19,290.21646731081546,96.83895951770867,1.5376268695848536
5,veh_24,231.96056143373033,74.75441632425225,1.3606374758503859
5,veh_26,287.0546595040505,76.73051314758942,11.996748238209612
5,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93784824004183,59.20325077392996,1.567722302612832
6,veh_1,293.4473829818994,112.84119525479302,0.77
6,veh_10,296.4683624894409,122.04956944627726,19.345897002740372
6,veh_17,291.2936481243844,15.701025906580417,10.80309553144226
6,veh_19,290.2221847428761,97.01219770914662,1.7323227676285984
6,veh_24,231.80522746559657,74.75339743716253,1.553339681337684
6,veh_26,287.07500432939474,75.53596107616386,11.946933549348882
6,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93829174839175,59.026656184500744,1.766144824750075
7,veh_1,293.47379137700574,112.92169179021424,0.8471704550643648
7,veh_10,297.07088703849246,123.8861497651345,19.3287397568965
7,veh_17,291.27516980349964,16.778375732511883,10.77604699322978
7,veh_19,290.22841089773266,97.20085020129937,1.8864605120469269
7,veh_24,231.63096134806136,74.75225436781673,1.742661175352036
7,veh_26,287.095267486491,74.3462041785998,11.898976139327885
7,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9387848697847,58.830306848670936,1.9637145421034135
8,veh_1,293.50489607119545,113.01650331160845,0.9978257983970523
8,veh_10,297.6728918791602,125.72114593909552,19.312067725664093
8,veh_17,291.2567343276917,17.853227542723033,10.751060926360914
8,veh_19,290.23512567970596,97.40430809509002,2.0345094735854206
8,veh_24,231.43820328762087,74.75099000367551,1.9275806044049535
8,veh_26,287.1154517415982,73.16108003324672,11.852643137913176
8,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9393273054268,58.614321739177974,2.160094398061813
9,veh_1,293.5414025160024,113.1277801353485,1.171111736830526
9,veh_10,298.2743912947849,127.55460150580959,19.29585389812952
9,veh_17,291.2383384936802,18.92576809949947,10.72794292417972
9,veh_19,290.24230955583243,97.62197954172292,2.1766401492357486
9,veh_24,231.22751328245172,74.74960801795287,2.1069000516915035
9,veh_26,287.1355594940161,71.98044776454186,11.807719058744315
9,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93991865379604,58.378860732621284,2.3548753079279985
10,veh_1,293.58361275246256,113.25644292536937,1.35408702749073
10,veh_10,298.87539876388433,129.38655754971163,19.280072455904453
10,veh_17,291.21997940033583,19.996166548694852,10.706516780690965
10,veh_18,291.38682592242196,10.268438978240301,5.7
10,veh_19,290.24994283934495,97.85326803215162,2.312805938080993
10,veh_24,230.9995885961146,74.74811298423211,2.279246863371238
10,veh_26,287.15559280191457,70.80418652647379,11.764003582618075
10,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9405583921409,58.12413197637323,2.5475745095964903
11,veh_1,293.6316775646218,113.40295129283788,1.541899408335509
11,veh_10,299.47592699517986,131.21705280878726,19.264698704231133
11,veh_17,291.20165442303255,21.06457591505351,10.686621246662899
11,veh_18,291.37725721778554,10.82632745407516,5.580204579677755
