19,44
10,98
0,77
12,22
0,77
19,419964345757126
10,938243005008475
0,9584705139529502
0,77
12,159981771921043
0,9697261651609547
19,400569603044662
10,899944621304194
1,1500041281299391
0,9683418186743444
12,102983528483122
1,1693333114189683
19,381781590340832
10,864821702605575
1,34332331133002
1,1654063681718039
12,048673006606672
1,368716099813768
19,36356774010689
10,832616533114814
1,5376268695848536
1,3606374758503859
11,996748238209612
1,567722302612832
0,77
19,345897002740372
10,80309553144226
1,7323227676285984
1,553339681337684
11,946933549348882
1,766144824750075
0,8471704550643648
19,3287397568965
10,77604699322978
1,8864605120469269
1,742661175352036
11,898976139327885
1,9637145421034135
0,9978257983970523
19,312067725664093
10,751060926360914
2,0345094735854206
1,9275806044049535
11,852643137913176
2,160094398061813
1,171111736830526
19,29585389812952
10,72794292417972
2,1766401492357486
2,1069000516915035
11,807719058744315
2,3548753079279985
1,35408702749073
19,280072455904453
10,706516780690965
5,7
2,312805938080993
2,279246863371238
11,764003582618075
2,5475745095964903
1,541899408335509
19,264698704231133
10,686621246662899
5,580204579677755
2,4429564647840696
2,4430870886534706
11,721309616616917
2,7374238737989014
1,7322263706624608
19,24970900731285
10,668108268145673
5,507176924611796
2,5670872956164867
2,596752974195792
11,679461584800533
2,9239646393214724
1,9237132107946149
19,23508072754796
10,65084172634111
5,4639265620940085
2,685256309913498
2,738486047524346
11,638293913964452
3,1065193227696377
2,115413808114837
19,2207921683734
10,634696455064786
5,440258205220703
2,7975878976454753
2,8664957710366727
11,597649684226475
3,2843676797391232
2,30655514920872
19,206822520448352
10,619557441003364
5,42972365944085
2,9042702671575844
2,9790316357455016
11,557379419261785
3,456766031740742
2,4964267576841808
19,19315181093132
10,605319147274962
5,428075461706476
3,005547852745964
3,0744641943601954
11,517339995125448
3,622970541361896
2,684325892118869
19,179760855624046
10,5918849155332
5,432427583753515
3,1017100952997754
3,151368415223878
11,477393649973877
3,7822634330385627
2,8695313781459957
19,16663121377405
10,579166411344518
5,4407733187103675
3,1930777817361813
3,208601480062288
11,437407079778176
3,9339806212366697
3,051294423359726
19,15374514534417
10,567083085821888
5,451694566878689
3,279988161109328
3,245367254617798
11,397250607433005
4,077538795282418
3,2288409703540295
19,141085570572614
10,555561634531017
5,464178996884851
3,3627800472817344
3,261261304064583
11,35679741460047
4,212459808973182
3,4013826845271984
19,128636031660537
10,544535442528913
5,477500745451373
3,441780022379109
3,256293199846533
11,31592282726629
4,338390301230709
3,568134605920414
19,11638065643677
10,53394401173142
5,4911400332859435
3,517290670927138
3,230886234166291
11,274503647387156
4,455114851917216
3,7283376717637733
19,10430412386039
10,523732373227492
5,504727469769473
3,5895815226260925
3,18585760063649
11,2324175242246
4,562561612890895
3,881284156895925
19,092391631232235
10,513850492294612
