SimulatedTime(s),RealTime(s)
1240,1.777
1540,1.919
1810,2.087
1820,2.067
2070,2.194
2300,2.314
2310,2.327
2520,2.433
2730,7.322
2930,5.592
3130,2.748
3310,2.897
3490,2.943
