SimulatedTime(s),RealTime(s)
1240,1.831
1540,1.899
1810,2.047
1820,2.054
2070,2.19
2300,5.896
2310,6.03
2520,2.408
2730,2.525
2930,2.625
3130,2.771
3310,2.836
3490,2.921
