t_real_s,vehicle_id,x,y,speed,lat,lon
1,veh_10,293.4473829818994,112.84119525479302,19.44,26.048715551228018,44.43573380407959
1,veh_17,291.38682592242196,10.2684389782403,10.98,26.048704644355126,44.43481027179123
1,veh_19,290.2,96.34,0.77,26.048677163014485,44.43558492747056
1,veh_26,286.9723935666982,81.56078051087985,12.22,26.048638771937416,44.435451553414474
1,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9365736980804,59.71074339374886,0.77,26.04849075325757,44.43525360895157
2,veh_10,294.0527512266578,114.68644356166214,19.419964345757126,26.04872288724055,44.435750477572384
2,veh_17,291.36806947450657,11.362004569114733,10.938243005008475,26.04870424900106,44.43482011364521
2,veh_19,290.20316337702656,96.4358503239042,0.9584705139529502,26.048677188757843,44.43558579060569
2,veh_24,232.31,74.7567084078712,0.77,26.047953022026235,44.43538458348518
2,veh_26,286.99310119885473,80.34492613668883,12.159981771921045,26.048639209683543,44.43544061097413
2,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.9368172124544,59.613781699783814,0.9697261651609548,26.04849077048131,44.435252736168856
3,veh_10,294.657514889392,116.5298490167363,19.400569603044666,26.0487302159307,44.435767134412856
3,veh_17,291.34937869907975,12.451741227446158,10.899944621304194,26.048703855031096,44.434829921039636
3,veh_19,290.2069588997749,96.5508546631799,1.1500041281299391,26.04867721964556,44.43558682622336
3,veh_24,232.21316581813255,74.75607324030975,0.9683418186743444,26.047951805555886,44.435384567626535
3,veh_26,287.01371176683136,79.1347709127848,12.102983528483122,26.048639645377598,44.435429719824974
3,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93711085150375,59.49686153947637,1.1693333114189683,26.04849079125035,44.43525168373372
4,veh_10,295.26169288337474,118.3714692703542,19.381781590340832,26.04873753752764,44.43578377512195
4,veh_17,291.3307481509852,13.53796642462955,10.864821702605576,26.048703462330465,44.434839696831624
4,veh_19,290.21139246141337,96.68519158082592,1.34332331133002,26.048677255725597,44.435588035931474
4,veh_24,232.09662518131535,74.75530881156497,1.165406368171804,26.047950341525034,44.43538454854053
4,veh_26,287.03422984763733,77.9300460987964,12.048673006606672,26.04864007911634,44.43541887754836
4,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93745455888853,59.36000534608579,1.368716099813768,26.048490815560722,44.43525045184806
5,veh_10,295.86530310666797,120.21135887834846,19.36356774010689,26.04874485224825,44.4358004001926
5,veh_17,291.3121728269868,14.620971866575536,10.832616533114814,26.048703070793707,44.43484944364651
5,veh_19,290.21646731081546,96.83895951770867,1.5376268695848536,26.048677297024394,44.435589420616544
5,veh_24,231.96056143373033,74.75441632425225,1.360637475850386,26.04794863223694,44.435384526257195
5,veh_26,287.0546595040505,76.73051314758942,11.996748238209612,26.048640510985653,44.435408081997416
5,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93784824004183,59.20325077392996,1.567722302612832,26.048490843405727,44.43524904085085
6,veh_1,293.4473829818994,112.84119525479302,0.77,26.048715551228018,44.43573380407959
6,veh_10,296.4683624894409,122.04956944627726,19.345897002740372,26.0487521602977,44.4358170100911
6,veh_17,291.2936481243844,15.701025906580416,10.80309553144226,26.048702680323807,44.4348591638994
6,veh_19,290.2221847428761,97.01219770914662,1.7323227676285984,26.04867734355249,44.43559098063183
6,veh_24,231.80522746559657,74.75339743716253,1.553339681337684,26.047946680868495,44.43538450081789
6,veh_26,287.07500432939474,75.53596107616386,11.946933549348882,26.048640941061503,44.435397331273364
6,veh_b6225d26-18b8-45d5-aa96-ca2f142692cf,274.93829174839175,59.026656184500744,1.766144824750075,26.048490874774995,44.43524745126739
7,veh_1,293.47379137700574,112.92169179021424,0.8471704550643648,26.04871587125185,44.43573453143883
